title,stars_rating,run_time,release_date,mpaa_rating,genre,director,cast
Fanboys,2.5,88.0,2009,"Profanity, Sexual Situations, Drugs, Nudity",COMEDY,Kyle Newman,"Sam Huntington, Chris Marquette, Dan Fogler, Jay Baruchel, Kristen Bell"
He's Just Not That Into You,2.5,125.0,2009,"Sexual Situations, Profanity",ROMANCE/COMEDY,Ken Kwapis,"Ginnifer Goodwin, Kevin Connolly, Justin Long, Bradley Cooper, Ben Affleck, Drew Barrymore, Scarlett Johansson, Jennifer Connelly, Jennifer Aniston, Kris Kristofferson"
"Uninvited, The",3.0,87.0,2009,"Violence, Profanity, Sexual Situations",HORROR/THRILLER,The Guard Brothers,"Emily Browning, Arielle Kebbel, David Strathairn, Elizabeth Banks, Jesse Moss"
New in Town,1.5,96.0,2009,Profanity,COMEDY/ROMANCE,Jonas Elmer,"Renee Zellweger, Harry Connick Jr., Siobhan Fallon Hogan, J.K. Simmons"
Taken,2.5,93.0,2009,"Violence, Profanity, Sexual Situations",THRILLER,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Olivier Rabourdin, Holly Valance, Xander Berkeley"
Underworld: Rise of the Lycans,2.0,92.0,2009,"Violence, Sexual Situations",HORROR/ACTION,Patrick Tatopoulos,"Michael Sheen, Bill Nighy, Rhona Mitra, Steven Mackintosh, Kevin Grevioux"
"Moscow, Belgium",3.0,102.0,2008,"Sexual Situations, Nudity, Profanity",ROMANCE/COMEDY,Christophe Van Rompaey,"Barbara Sarafian, Jurgen Delnaet, Johan Heldenbergh, Anemone Valcke, Sofia Ferri, Julian Borsani"
Inkheart,2.5,106.0,2009,Violence,ADVENTURE/FANTASY,Iain Softley,"Brendan Fraser, Eliza Hope Bennett, Paul Bettany, Helen Mirren, Andy Serkis, Jim Broadbent, Sienna Guillory"
"Siege, The",3.5,118.0,1998,"Violence, Profanity, Nudity",THRILLER/DRAMA,Edward Zwick,"Denzel Washington, Jack Gwaltney, Mark Valley, Lianna Pai, Mosleh Mohamed, Sami Bouajila, Tony Shalhoub, Bruce Willis, Annette Bening, David Proval"
In the Valley of Elah,2.5,124.0,2007,"Violence, Profanity, Sexual Situations, Nudity",DRAMA,Paul Haggis,"Tommy Lee Jones, Charlize Theron, Jason Patric, Susan Sarandon, James Franco, Barry Corbin, Josh Brolin"
Oblivion,3.0,126.0,2013,"Violence, Sexual Content, Nudity",SCIENCE FICTION/ACTION,Joseph Kosinski,"Tom Cruise, Olga Kurylenko, Andrea Riseborough, Morgan Freeman, Nikolaj Coster-Waldau, Melissa Leo"
To the Wonder,2.5,112.0,2013,"Sexual Content, Nudity",DRAMA,Terrence Malick,"Ben Affleck, Olga Kurylenko, Rachel McAdams, Javier Bardem, Tatiana Chiline"
"Hunter, The",2.5,100.0,2012,"Violence, Profanity",ADVENTURE/DRAMA,Daniel Nettheim,"Willem Dafoe, Frances O'Connor, Sam Neill, Morgana Davies, Finn Woodlock"
Disconnect,3.0,115.0,2013,"Violence, Profanity,Sexual Content, Nudity, Drugs",DRAMA,Henry Alex Rubin,"Jason Bateman, Alexander Skarsgard, Paula Patton, Max Thieriot, Andrea Riseborough, Colin Ford, Frank Grillo, Jonah Bobo, Hope Davis, Michael Nyqvist"
42,3.0,125.0,2013,"Violence, Profanity",DRAMA,Brian Helgeland,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Merloni, Ryan Merriman, Lucas Black, Alan Tudyk"
Tyrannosaur,3.5,92.0,2011,"Violence, Profanity, Sexual Content",DRAMA,Paddy Considine,"Peter Mullan, Olivia Colman, Eddie Marsan, Samuel Bottomley"
Trance,2.5,101.0,2013,"Violence, Profanity,Sexual Content, Nudity",THRILLER/SCIENCE FICTION,Danny Boyle,"James McAvoy, Vincent Cassel, Rosario Dawson, Danny Sapani, Matt Cross, Wahab Sheikh"
Evil Dead,2.0,91.0,2013,"Violence, Profanity",HORROR,Fede Alvarez,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore"
"Host, The",1.5,125.0,2013,"Violence, Sexual Content",SCIENCE FICTION/DRAMA,Andrew Niccol,"Saoirse Ronan, Diane Kruger, William Hurt, Max Irons, Jake Abel, Boyd Holbrook, Frances Fisher, Chandler Canterbury"
"Place Beyond the Pines, The",3.0,140.0,2013,"Violence, Profanity, Sexual Content, Drugs",DRAMA,Derek Cianfrance,"Ryan Gosling, Bradley Cooper, Eva Mendes, Rose Byrne, Dane DeHaan, Emory Cohen, Ray Liotta, Bruce Greenwood, Ben Mendelsohn"
Whisper of the Heart,3.5,111.0,2019,,Animated,Yoshifumi Kondo,"Yoko Honna, Issei Takahashi, Shigeru Tsuyuguchi, Keiju Kobayashi, Maiko Kayama, Yoshimi Nakajima"
Ophelia,2.5,114.0,2019,"Violence, Sexual Content",Drama,Claire McCarthy,"Daisy Ridley, Naomi Watts, Clive Owen, George MacKay, Tom Felton, Dominic Mafham, Devon Terrell"
Yesterday,3.0,116.0,2019,Profanity,Romantic/Fantasy,Danny Boyle,"Himesh Patel, Lily James, Joel Fry, Ed Sheeran, Kate McKinnon, Meera Syal, Sanjeev Bhaskar, Alexander Arnold"
Annabelle Comes Home,1.5,105.0,2019,"Violence, Disturbing Images",Horror,Gary Dauberman,"McKenna Grace, Madison Iseman, Katie Sarife, Michael Cimino, Vera Farmiga, Patrick Wilson"
Child's Play,1.0,90.0,2019,"Violence, Gore, Profanity",Horror,Lars Klevberg,"Aubrey Plaza, Gabriel Bateman, Brian Tyree Henry, Tim Matheson, David Lewis, Mark Hamill"
Toy Story 4,3.0,100.0,2019,,Animated,Josh Cooley,"Tom Hanks, Tony Hale, Don Rickles, John Ratzenberger, Wallace Shawn, Keegan-Michael Key, Jordan Peele, Christina Hendricks, Keanu Reeves, Joan Cusack, Annie Potts, Tim Allen, Madeleine McGraw"
"French Connection, The",3.5,104.0,1971,"Violence, Profanity, Sexual Content, Brief Nudity",Thriller,William Friedkin,"Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco, Marcel Bozzuffi, Frederic De Pasquale, Bill Hickman, Eddie Egan, Sonny Grosso"
Men in Black International,1.5,114.0,2019,"Violence, Profanity",Science Fiction/Action,F. Gary Gray,"Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson, Rafe Spall, Emma Thompson, Liam Neeson, Laurent Bourgeois, Larry Bourgeois"
Shaft,3.0,111.0,2019,"Violence, Profanity, Drugs, Sexual Content, Nudity",Action/Comedy,Tim Story,"Samuel L. Jackson, Jessie T. Usher, Richard Roundtree, Regina Hall, Alexandra Shipp, Isaach De Bankolé"
Plus One,3.0,99.0,2019,"Profanity, Sexual Content",Romance/Comedy,Jeff Chan &amp; Andrew Rhymer,"Jack Quaid, Maya Erskine, Ed Begley Jr."
Outlaw King,3.0,121.0,2018,"Violence, Nudity, Sexual Content, Profanity",Adventure,David Mackenzie,"Chris Pine, Stephen Dillane, Aaron Taylor-Johnson, Billy Howle, Tony Curran, Florence Pugh, Josie O’Brien, James Cosmo"
"Girl in the Spider's Web, The",2.5,117.0,2018,"Violence, Profanity, Nudity, Sexual Content",Thriller,Fede Alvarez,"Claire Foy, Sverrir Gudnason, Sylvia Hoeks, Lakeith Stanfield, Stephen Merchant, Cameron Britton, Vicky Krieps"
"Grinch, The",1.0,80.0,2018,,Animated,"Yarrow Cheney, Scott Mosier","Benedict Cumberbatch, Cameron Seely, Rashida Jones, Kenan Thompson, Pharrell Williams"
Boy Erased,3.0,114.0,2018,"Profanity, Sexual Content",Drama,Joel Edgerton,"Lucas Hedges, Nicole Kidman, Russell Crowe, Joel Edgerton, Madelyn Cline"
Can You Ever Forgive Me?,3.0,106.0,2018,Profanity,Drama/Comedy,Marielle Heller,"Melissa McCarthy, Richard E. Grant, Dolly Wells, Jane Curtain"
Time Trap,2.5,90.0,2018,"Violence, Profanity",Science Fiction/Adventure,"Ben Foster, Mark Dennis","Reiley McClendon, Brianne Howey, Cassidy Gifford, Olivia Draguicevich, Max Wright, Andrew Wilson"
Unlovable,2.5,80.0,2018,"Sexual Content, Profanity, Nudity",Drama,Suzi Yoonessi,"Charlene deGuzman, John Hawkes, Melissa Leo, Paul James"
"Nutcracker and the Four Realms, The",2.0,99.0,2018,Mild Violence,Fantasy,"Lasse Hallstrom, Joe Johnston","Mackenzie Foy, Keira Knightley, Jayden Fowora-Knight, Helen Mirren, Morgan Freeman, Richard E. Grant, Eugenio Derbez, Matthew Macfadyen, Ellie Bamber"
Bohemian Rhapsody,2.5,133.0,2018,"Profanity, Sexual Content, Drugs",Drama/Musical,Bryan Singer,"Rami Malek, Lucy Boynton, Joseph Mazzello, Ben Hardy, Gwilym Lee, Allen Leech, Tom Hollander, Aidan Gillen, Mike Myers, Aaron McCusker"
Free Solo,3.5,100.0,2018,Profanity,Documentary,"Jimmy Chin, Elizabeth Chai Vasarhelyi","Alex Honnold, Sanni McCandless, Jimmy Chin, Tommy Caldwell"
National Lampoon's Christmas Vacation,2.5,97.0,1989,"Profanity, Sexual Situations",COMEDY,Jeremiah Chechik,"Chevy Chase, Nicholas Guest, Johnny Galecki, Juliette Lewis, Doris Roberts, E.G. Marshall, John Randolph, Diane Ladd, Mae Questel, William Hickey, Miriam Flynn, Randy Quaid, Beverly D'Angelo, Julia Louis-Dreyfus"
Balzac and the Little Chinese Seamstress,2.5,111.0,,"Sexual Situations, Profanity",DRAMA,Dai Sijie,"Chen Kun, Liu Ye, Zhou Xun, Wang Shuanbao, Cong Zhijun"
Revolutionary Road,3.5,119.0,2008,"Profanity, Sexual Situations, Nudity",DRAMA,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, Kathy Bates, Kathryn Hahn, David Harbour, Zoe Kazan"
Mighty Aphrodite,3.0,98.0,1995,"Profanity, Sexual Situations",COMEDY,Woody Allen,"Woody Allen, Mira Sorvino, Helena Bonham Carter, Peter Weller, Michael Rapaport"
Autumn in New York,2.0,103.0,2000,"Profanity, Sexual Content",ROMANCE/DRAMA,Joan Chen,"Richard Gere, Winona Ryder, Anthony LaPaglia, Elaine Stritch, Vera Farmiga"
"Brady Bunch Movie, The",2.0,89.0,1995,Sexual Innuendo,COMEDY,Betty Thomas,"Shelly Long, Michael McKean, Henrietta Mantel, Jesse Lee, Olivia Hack, Paul Sutera, Jennifer Elise Cox, Christopher Daniel Barns, Christine Taylor, Gary Cole, Jean Smart"
Atonement,3.5,130.0,2007,"Violence, Sexual Situations",DRAMA,Joe Wright,"Keira Knightley, James McAvoy, Romola Garai, Vanessa Redgrave, Saoirse Ronan, Harriet Walter, Brenda Blethyn"
Under the Same Moon,3.0,106.0,2008,Mature Themes,DRAMA,Patricia Riggen,"Kate del Castillo, Engenio Derbez, Adrian Alonso, Gabriel Porras, Maya Zapata, Ernesto D'Alessio, America Ferrera"
"Polar Express, The",3.5,90.0,2004,Nothing Objectionable,ANIMATED,Robert Zemeckis,"Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye, Peter Scolari, Michael Jeter"
Bee Season,2.5,104.0,2005,"Profanity, Sexual Situations",DRAMA,"Scott McGehee, David Siegel","Richard Gere, Juliette Binoche, Flora Cross, Max Minghella, Kate Bosworth"
"Intruder, The",1.5,102.0,2019,"Violence, Profanity, Sexual Content",Thriller,Deon Taylor,"Dennis Quaid, Meagan Good, Michael Ealy, Joseph Sikora, Alvina August"
Long Shot,3.0,125.0,2019,"Profanity, Sexual Content, Drugs",Romance/Comedy,Jonathan Levine,"Charlize Theron, Seth Rogen, June Diane Raphael, O’Shea Jackson Jr., Ravi Patel, Bob Odenkirk, Andy Serkis, Alexander Skarsgård"
Oliver!,2.5,153.0,,Violence,Musical/Drama,Carol Reed,
Stalker,3.0,163.0,1982,,Science Fiction,Andrei Tarkovsky,"Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko"
JT LeRoy,2.5,108.0,2019,"Sexual Content, Nudity, Profanity",Drama,Justin Kelly,"Kristen Stewart, Laura Dern, Jim Sturgess, Diane Kruger, Courtney Love, Stella Maxwell, Kelvin Harrison Jr."
Avengers: Endgame,3.0,181.0,2019,"Violence, Profanity",Action/Adventure,"Joe Russo, Anthony Russo","Robert Downey Jr., Jeremy Renner, Paul Rudd, Brie Larson, Bradley Cooper, Scarlett Johansson, Josh Brolin, Karen Gillan, Mark Ruffalo, Chris Hemsworth, Chris Evans, Don Cheadle"
"Last Hour, The",2.5,118.0,2017,"Violence, Profanity, Sexual Content, Brief Nudity",Thriller,Eduardo Mendoza de Echave,"Pietro Sibille, Nidia Bermejo, Katerina D’Onofrio, Miguel Vargas, Tono Vega"
"Curse of La Llorona, The",2.0,93.0,2019,"Violence, Bloody Horror",Horror,Michael Chaves,"Linda Cardellini, Roman Christou, Jaynee-Lynne Kinchen, Raymond Cruz, Sean Patrick Thomas, Patricia Velasquez, Marisol Ramirez, Tony Amendola"
Under the Silver Lake,2.5,141.0,2019,"Sexual Content, Nudity, Profanity, Violence, Drugs",Thriller,David Robert Mitchell,"Andrew Garfield, Riley Keough Riki Lindhome, Callie Hernandez, Topher Grace, Grace Van Patten"
Red Joan,2.5,101.0,2019,"Sexual Content, Nudity",Drama,Trevor Nunn,"Judi Dench, Sophie Cookson, Stephen Campbell Moore, Tom Hughes, Tereza Srbova, Ben Miles"
Beastly,2.0,88.0,2011,"Sexual Content, Profanity",ROMANCE,Daniel Barnz,"Alex Pettyfer, Vanessa Hudgens, Mary-Kate Olsen, Lisa Gay Hamilton, Neil Patrick Harris"
"Adjustment Bureau, The",3.0,102.0,2011,"Profanity, Sexual Content",ROMANCE/SCIENCE FICTION,George Nolfi,"Matt Damon, Emily Blunt, Anthony Mackie, John Slattery, Terence Stamp, Michael Kelly"
Drive Angry,3.0,104.0,2011,"Violence, Sexual Content, Profanity, Nudity",ACTION,Patrick Lussier,"Nicolas Cage, Amber Heard, William Fichtner, Billy Burke, David Morse, Charlotte Ross"
Hall Pass,3.0,105.0,2011,"Profanity, Sexual Content, Nudity, Drugs",COMEDY,"Bobby Farrelly, Peter Farrelly","Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate, Nicky Whelan, Richard Jenkins"
I Am Number Four,1.5,110.0,2011,"Violence, Profanity, Sexual Situations",SCIENCE FICTION/ACTION,D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Teresa Palmer, Dianna Agron, Callan McAuliffe, Kevin Durand, Jake Abel"
Unknown,2.0,109.0,2011,"Violence, Sexual Content, Profanity",THRILLER,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch"
Just Go with It,1.5,114.0,2011,"Sexual Content, Profanity",ROMANCE/COMEDY,Dennis Dugan,"Adam Sandler, Jennifer Aniston, Nicole Kidman, Brooklyn Decker, Nick Swardson"
Cedar Rapids,3.0,86.0,2011,"Profanity, Sexual Content, Nudity, Drugs",COMEDY,Miguel Arteta,"Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr., Stephen Root, Kurtwood Smith, Alia Shawkat, Sigourney Weaver"
Behind the Mask,3.0,92.0,2007,"Violence, Profanity,Sexual Content, Nudity",HORROR/COMEDY,Scott Glosserman,"Nathan Baesel, Angela Goethals, Robert Englund, Scott Wilson, Zelda Rubinstein, Bridgett Newton, Kate Lang Johnson, Ben Pace, Britain Spellings"
Sanctum,3.0,109.0,2011,"Violence, Profanity",ADVENTURE,Alister Grierson,"Richard Roxburgh, Ioan Gruffudd, Rhys Wakefield, Alice Parkinson, Dan Wyllie"
Perfect Stranger,1.5,92.0,2007,"Profanity, Violence, Sexual Situations, Nudity",THRILLER,James Foley,"Bruce Willis, Halle Berry, Giovanni Ribisi, Gary Dourdan, Nicki Aycox"
This Film Is Not Yet Rated,3.0,98.0,2006,"Sexual Situations, Nudity, Violence, Profanity",DOCUMENTARY,Kirby Dick,"Kirby Dick, Mary Harron, David Ansen, Allison Anders, Atom Egoyan, Maria Bello, Wayne Kramer, Matt Stone, Kevin Smith, John Waters, Kimberly Peirce, Richard Heffner"
Turistas,2.0,90.0,2006,"Violence, Profanity, Sexual Situations, Nudity",HORROR,John Stockwell,"Josh Duhamel, Melissa George, Olivia Wilde, Desmond Askew, Beau Garrett, Max Brown"
Flash of Genius,2.5,117.0,2008,Profanity,DRAMA,Marc Abraham,"Greg Kinnear, Lauren Graham, Dermot Mulroney, Alan Alda"
Talk to Her,3.5,112.0,2002,"Nudity, Sexual Situations, Profanity",DRAMA,Pedro Almodovar,"Javier Camara, Dario Grandinetti, Leonor Watling, Rosario Flores, Mariola Fuentes, Geraldine Chaplin"
Rosewood,3.5,142.0,1997,"Violence, Sexual Content",DRAMA,John Singleton,"Jon Voight, Robert Patrick, Elise Neal, Michael Rooker, Ester Rolle, Loren Dean, Bruce McGill, Don Cheadle, Ving Rhames, Catherine Kellner"
Carrington,3.5,122.0,1995,"Sexual Situations, Violence, Nudity",DRAMA,Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West, Rufus Sewell"
"Civil Action, A",3.0,112.0,1998,Profanity,DRAMA,Steven Zaillian,"John Travolta, Stephen Fry, Kathleen Quinlan, John Lithgow, Bruce Norris, James Gandolfini, Zeljko Ivanek, William H. Macy, Tony Shalhoub, Robert Duvall, Dan Hedaya"
"Reaping, The",1.5,96.0,2007,"Violence, Profanity, Sexual Situations",HORROR,Stephen Hopkins,"Hilary Swank, David Morrissey, Idris Elba, AnnaSophia Robb, Stephen Rea"
"Proposition, The",3.0,104.0,2006,Violence,WESTERN,John Hillcoat,"Guy Pearce, Ray Winstone, Danny Huston, Richard Wilson, Emily Watson, John Hurt, David Wenham"
"Mummy, The",2.5,126.0,1999,"Violence, Nudity",ACTION/ADVENTURE,Stephen Sommers,"Brendan Fraser, John Hannah, Rachel Weisz, Arnold Vosloo, Stephen Dunham, Jonathan Hyde, Corey Johnson, Kevin J. O'Connor, Tuc Watkins"
Stop-Loss,2.0,110.0,2008,"Profanity, Violence",DRAMA,Kimberly Peirce,"Ryan Phillippe, Channing Tatum, Abbie Cornish, Joseph Gordon-Levitt, Victor Rasuk, Ciaran Hinds, Linda Emond, Timothy Olyphant"
"Heart of the Game, The",3.0,97.0,2006,"Profanity, Mature Themes",DOCUMENTARY,Ward Serrill,"Bill Resler, Darnellia Russell, Joyce Walker"
Robots,3.0,90.0,2005,Nothing Objectionable,ANIMATED,"Chris Wedge, Carlos Saldanha","(voices) Ewan McGregor, Stanley Tucci, Jennifer Coolidge, Drew Carey, Amanda Bynes, Jim Broadbent, Mel Brooks, Greg Kinnear, Halle Berry, Robin Williams, Dianne Wiest"
Gran Torino,3.0,115.0,2008,"Profanity, Violence",DRAMA,Clint Eastwood,"Clint Eastwood, Bee Vang, Ahney Her, Christopher Carley"
Two Weeks Notice,2.5,98.0,2002,"Sexual Content, Profanity",ROMANCE/COMEDY,Marc Lawrence,"Sandra Bullock, Hugh Grant, Alicia Witt, Robert Klein, Dana Ivey"
Anastasia,3.5,97.0,1997,Nothing Objectionable,ANIMATED,"Don Bluth, Gary Goldman","(voices) Meg Ryan, John Cusack, Kelsey Grammer, Angela Lansbury, Christopher Lloyd, Hank Azaria, Bernadette Peters, Kirsten Dunst"
Alien,3.5,116.0,1979,"Violence, Profanity",SCIENCE FICTION/HORROR,Ridley Scott,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm, Yaphet Kotto"
"Bridges of Madison County, The",3.5,135.0,1996,"Sexual Situations, Nudity",ROMANCE,Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak, Jim Haynie"
Hollywoodland,3.0,126.0,2006,"Violence, Profanity, Sexual Situations, Nudity",DRAMA,Allen Coulter,"Adrien Brody, Diane Lane, Ben Affleck, Bob Hoskins, Robin Tunney, Joe Spano, Molly Parker, Caroline Dhavernas"
"Stepfather, The",3.0,89.0,1987,"Violence, Profanity, Nudity, Sexual Content",Horror/Thriller,Joseph Ruben,"Terry O’Quinn, Jill Schoelen, Shelley Hack, Charles Lanyer, Stephen Shellen"
Pacific Rim Uprising,2.0,111.0,2018,"Violence, Profanity",Science Fiction/Action,Steven S. DeKnight,"John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman, Charlie Day, Rinko Kikuchi, Jing Tian, Max Zhang"
Unsane,3.0,97.0,2018,"Violence, Profanity",Horror/Thriller,Steven Soderbergh,"Claire Foy, Joshua Leonard, Amy Irving, Jay Pharoah, Juno Temple"
Madame,2.5,91.0,2018,"Profanity, Sexual Content, Nudity",Drama/Comedy,Amanda Sthers,"Toni Collette, Harvey Keitel, Rossy De Palma, Michael Smiley, Tom Hughes"
I Kill Giants,3.0,106.0,2018,"Violence, Profanity, Bullying",Drama/Fantasy,Anders Walter,"Madison Wolfe, Imogen Poots, Zoe Saldana, Sydney Wade, Rory Jackson, Jennifer Ehle, Noel Clarke"
Castle in the Sky,3.5,125.0,1987,,Animated,Hayao Miyazaki,"Anna Paquin, James Van Der Beek, Cloris Leachman, Mark Hamill, Richard Dysart, Jim Cummings"
Allure,2.5,105.0,2018,"Violence, Profanity, Sexual Content, Nudity",Drama,"Carlos Sanchez, Jason Sanchez","Evan Rachel Wood, Julia Sarah Stone, Denis O’Hare"
"Death of Stalin, The",3.0,106.0,2018,"Violence, Profanity",Comedy,Armando Iannucci,"Steve Buscemi, Simon Russell Beale, Jeffrey Tambor, Michael Palin, Adrian McLoughlin, Olga Kurylenko, Andrea Riseborough, Jason Isaacs, Paddy Considine"
Tomb Raider,2.5,118.0,2018,"Violence, Profanity",Action/Adventure,Roar Uthaug,"Alicia Vikander, Dominic West, Daniel Wu, Kristin Scott Thomas, Derek Jacobi, Walton Goggins"
"Love, Simon",3.0,109.0,2018,"Profanity, Sexual Content",Drama/Comedy,Greg Berlanti,"Nick Robinson, Josh Duhamel, Jennifer Garner, Katherine Langford, Alexandra Shipp, Jorge Lendeborg Jr., Talitha Bateman, Keiynan Lonsdale, Logan Miller"
"African Queen, The",3.0,105.0,,,Adventure/Romance,John Huston,"Humphrey Bogart, Katharine Hepburn, Robert Morley"
"Mountain Between Us, The",2.0,105.0,2017,"Scenes of Peril, Sexual Content, Profanity",Adventure/Romance,Hany Abu-Assad,"Idris Elba, Kate Winslet"
"Florida Project, The",3.5,115.0,2017,"Profanity, Sexual Content",Drama,Sean Baker,"Willem Dafoe, Brooklynn Prince, Bria Vinaite, Valeria Cotto, Christopher Rivera, Caleb Landry Jones, Mela Murder"
"Osiris Child, The",2.5,95.0,2017,Violence,Science Fiction/Action,Shane Abbess,"Daniel MacPherson, Kellan Lutz, Teagan Croft, Temeura Morrison, Rachel Griffiths, Isabel Lucas, Luke Ford"
Blade Runner 2049,3.5,163.0,2017,"Violence, Nudity, Sexual Content, Profanity",Science Fiction,Denis Villeneuve,"Ryan Gosling, Harrison Ford, Ana de Armas, Robin Wright, Jared Leto, Sylvia Hoeks, Mackenzie Davis, Dave Bautista, Carla Juri"
Flatliners,2.0,110.0,2017,"Disturbing Images, Sexual Content, Profanity",Horror/Thriller,Niels Arden Oplev,"Ellen Page, Diego Luna, Nina Dobrev, James Norton, Kiersey Clemons, Kiefer Sutherland"
Battle of the Sexes,2.0,121.0,2017,Sexual Content,Drama,Jonathan Dayton &amp; Valerie Faris,"Emma Stone, Steve Carell, Andrea Riseborough, Natalie Morales, Sarah Silverman, Bill Pullman, Elisabeth Shue, Jessie McNamee, Austin Stowell"
Realive,3.0,112.0,2017,"Adult Themes, Sexual Situations, Brief Nudity, Profanity",Science Fiction,Mateo Gil,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward"
Mark Felt,3.0,103.0,2017,Profanity,Drama/Thriller,Peter Landesman,"Liam Neeson, Diane Lane, Maika Monroe, Josh Lucas, Eddie Marsan, Marton Csokas, Bruce Greenwood, Tom Sizemore, Tony Goldwyn"
American Made,3.0,115.0,2017,"Violence, Profanity, Sexual Content, Nudity, Drugs",Thriller,Doug Liman,"Tom Cruise, Sarah Wright, Domhnall Gleeson, Caleb Landry Jones, Alejandro Edda, Mauricio Mejia"
"Expendables, The",2.0,103.0,2010,"Violence, Profanity",ACTION,Sylvester Stallone,"Sylvester Stallone, Mickey Rourke, Terry Crews, Giselle Itie, David Zayas, Steve Austin, Randy Couture, Eric Roberts, Dolph Lundgren, Jet Li, Jason Statham, Bruce Willis"
Eat Pray Love,1.5,135.0,2010,"Sexual Content, Profanity, Nudity",DRAMA,Ryan Murphy,"Julia Roberts, Billy Crudup, Viola Davis, James Franco, Welker White, Luca Argentero, Richard Jenkins, Javier Bardem"
Scott Pilgrim vs. the World,3.5,115.0,2010,"Violence, Profanity, Sexual Content",ACTION/COMEDY,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brandon Routh, Alison Pill, Jason Schwartzman, Ellen Wong"
Cairo Time,3.0,90.0,2010,,DRAMA/ROMANCE,Rubba Nada,"Patricia Clarkson, Alexander Siddig"
"Other Guys, The",3.0,107.0,2010,"Violence, Profanity, Sexual Content",ACTION/COMEDY,Adam McKay ,"Will Ferrell, Mark Wahlberg, Eva Mendes, Samuel L. Jackson, Dwayne Johnson, Michael Keaton, Steve Coogan, Ray Stevenson"
"Lost Weekend, The",3.0,101.0,,,DRAMA,Billy Wilder,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, Doris Dowling"
